trade,business name,reviews,phone,contacted,sms,called,interested,website sent,status
electrician,Dundrum Electrical Services 24/7,64,0870631885,,,,,,
electrician,Blackrock Electrical Services,41,0852126803,,,,,,
electrician,Shaugh Electrical,0,0896157595,,,,,,
electrician,Clongriffin Electrical Services 24/7,57,0872493798,,,,,,
electrician,H.T. Electrical Services,1,,,,,,
electrician,Sagar Electrical,9,0857479336,,,,,,
electrician,D&B Electrical,1,0863745951,,,,,,
electrician,Storage Heater Repairs Dublin,28,0852256240,,,,,,
electrician,Excise Electrical Limited,1,,,,,,
electrician,Eamon O'Leary Electrical Services,61,0862227744,,,,,,
electrician,Bracken Electrical,0,0862651887,,,,,,
electrician,AutoGate Ireland,10,0868560063,,,,,,
electrician,JDE Electric,71,0833501533,,,,,,
electrician,CM Electrical Services,37,0872032862,,,,,,
electrician,Powerwise Electrical Contractors,3,0872430171,,,,,,
electrician,Current Electrical,11,0863490258,,,,,,
electrician,AB Electrical,19,0872992562,,,,,,
electrician,Brian Sexton Electrical,30,0872165456,,,,,,
electrician,Nigel Mannion Maintenance & Electrical Services,13,0868360828,,,,,,
electrician,Optimal Electrical,2,0872369047,,,,,,
electrician,Custom Fit Electrical Ltd,3,0858718972,,,,,,
electrician,Galway Electrician,0,0877749815,,,,,,
electrician,Rob Wade Electrical,1,0868163556,,,,,,
electrician,Ray Carroll Electrical Ltd.,4,0872267509,,,,,,
electrician,JM Electrical Galway,2,0866000054,,,,,,
electrician,BMG Electrical,3,091795544,,,,,,
electrician,A&T Electrician & Electronics,2,0857886196,,,,,,
electrician,George Conboy Electrical,42,091526202,,,,,,
electrician,Wade Electrical Limited,3,091591699,,,,,,
electrician,Thomas Flaherty Electrical,4,0879552174,,,,,,
electrician,McGrath Electrical & Mechanical Ltd,2,,,,,,
electrician,West Coast Electrical,0,,,,,,
electrician,Fahey Auto Electrics,11,0857160531,,,,,,
electrician,James Keane Electrical,2,091796230,,,,,,
electrician,Asap Electrical,2,0830557222,,,,,,
electrician,Brendan White Auto Electrician,69,0872689745,,,,,,
electrician,Auto Electrical & Security Services,72,0214502646,,,,,,
electrician,Reihill Electrical Limited,4,0214319929,,,,,,
electrician,Wave Electrical Services Ltd,1,0214221935,,,,,,
electrician,Swords Electrical Services 24/7,46,0872332031,,,,,,
electrician,Connacht Electrical,0,0833491398,,,,,,
electrician,Mike Connolly Electrical,5,0874196867,,,,,,
electrician,Adrian Ansbro Electrical,2,0894249317,,,,,,
